SourceContainer,DestinationContainer,PouringTime,RotationSpeed,MinimumAngle,MaximumAngle,SourcePosX,SourcePosY,SourcePosZ,DestPosX,DestPosY,DestPosZ,NumberOfParticles,IsPouringFailed
SM_BigBowl,SM_MilkPitcher,0.008333,0.5,85.499557,85.99955,0.000015,5.96731,14.215332,False
SM_BigBowl,SM_MilkPitcher,1.025392,0.5,77.499779,129.499252,0.000015,5.96731,14.215332,True
SM_BigBowl,SM_MilkPitcher,1.036096,0.5,78.99971,127.499367,0.000015,5.96731,14.215332,True
SM_BigBowl,SM_MilkPitcher,1.103119,0.5,78.499733,127.999352,0.000015,5.96731,14.215332,True
SM_BigBowl,SM_MilkPitcher,1.101562,0.5,79.49968,128.499329,0.000015,5.96731,14.215332,True
SM_BigBowl,SM_MilkPitcher,1.061351,0.5,78.499733,126.499397,0.000015,5.96731,14.215332,True
SM_BigBowl,SM_MilkPitcher,0.928051,0.5,82.99958,128.999283,0.000015,5.96731,14.215332,True
SM_BigBowl,SM_MilkPitcher,0.927805,0.5,82.499596,127.999352,0.000015,5.96731,14.215332,True
SM_BigBowl,SM_MilkPitcher,1.046934,0.5,79.999657,127.499367,0.000015,5.96731,14.215332,True
SM_BigBowl,SM_MilkPitcher,1.077883,0.5,77.499779,129.499252,0.000015,5.96731,14.215332,True
SM_BigBowl,SM_MilkPitcher,1.293615,0.5,71.000084,129.999222,0.000015,5.96731,14.215332,True
SM_BigBowl,SM_MilkPitcher,1.149235,0.5,76.999809,129.999222,0.000015,5.96731,14.215332,True
SM_BigBowl,SM_MilkPitcher,1.050591,0.5,78.99971,128.499329,0.000015,5.96731,14.215332,True
SM_BigBowl,SM_MilkPitcher,1.101606,0.5,78.499733,127.499367,0.000015,5.96731,14.215332,True
SM_BigBowl,SM_MilkPitcher,0.024863,0.5,78.499733,79.49968,0.000015,5.96731,14.215332,False
SM_BigBowl,SM_MilkPitcher,0.738398,0.5,74.999916,104.999687,0.000015,5.96731,14.215332,False
SM_Blue_Cup,SM_BigBowl,3.959906,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,3.907197,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,2.484817,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,3.856098,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,4.635133,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,4.007067,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,2.455068,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,2.490224,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
SM_Blue_Cup,SM_BigBowl,4.502119,1.0,120.0,120.0,500.644348,-438.871674,96.991325,500.644348,-428.978912,82.073166,230,True
